Data,ID_Produto,Nome_Produto,Quantidade_Vendida,Estoque_Disponível,Categoria
2023-01-01,1001,Camisa Social Azul,7,35,Camisas
2023-01-01,1002,Calça Jeans,7,58,Calças
2023-01-01,1003,Jaqueta de Couro,7,78,Jaquetas
2023-01-01,1004,Camisa Social Branca,15,24,Camisas
2023-01-01,1005,Saia Longa,7,18,Saias
2023-01-01,1006,Blusa de Algodão,8,48,Blusas
2023-01-01,1007,Calça de Moletom,10,36,Calças
2023-01-01,1008,Vestido Floral,6,95,Vestidos
2023-01-01,1009,Terno Completo,11,62,Ternos
2023-01-01,1010,Camiseta Básica,4,67,Camisetas
2023-01-02,1001,Camisa Social Azul,14,86,Camisas
2023-01-02,1002,Calça Jeans,15,26,Calças
2023-01-02,1003,Jaqueta de Couro,1,19,Jaquetas
2023-01-02,1004,Camisa Social Branca,4,36,Camisas
2023-01-02,1005,Saia Longa,8,19,Saias
2023-01-02,1006,Blusa de Algodão,1,22,Blusas
2023-01-02,1007,Calça de Moletom,11,62,Calças
2023-01-02,1008,Vestido Floral,10,74,Vestidos
2023-01-02,1009,Terno Completo,1,12,Ternos
2023-01-02,1010,Camiseta Básica,13,99,Camisetas
2023-01-03,1001,Camisa Social Azul,2,37,Camisas
2023-01-03,1002,Calça Jeans,5,65,Calças
2023-01-03,1003,Jaqueta de Couro,10,97,Jaquetas
2023-01-03,1004,Camisa Social Branca,12,44,Camisas
2023-01-03,1005,Saia Longa,13,28,Saias
2023-01-03,1006,Blusa de Algodão,4,99,Blusas
2023-01-03,1007,Calça de Moletom,5,24,Calças
2023-01-03,1008,Vestido Floral,17,96,Vestidos
2023-01-03,1009,Terno Completo,18,76,Ternos
2023-01-03,1010,Camiseta Básica,11,15,Camisetas
2023-01-04,1001,Camisa Social Azul,11,21,Camisas
2023-01-04,1002,Calça Jeans,10,33,Calças
2023-01-04,1003,Jaqueta de Couro,1,11,Jaquetas
2023-01-04,1004,Camisa Social Branca,9,27,Camisas
2023-01-04,1005,Saia Longa,19,73,Saias
2023-01-04,1006,Blusa de Algodão,7,31,Blusas
2023-01-04,1007,Calça de Moletom,7,67,Calças
2023-01-04,1008,Vestido Floral,18,86,Vestidos
2023-01-04,1009,Terno Completo,8,96,Ternos
2023-01-04,1010,Camiseta Básica,19,69,Camisetas
2023-01-05,1001,Camisa Social Azul,16,52,Camisas
2023-01-05,1002,Calça Jeans,15,97,Calças
2023-01-05,1003,Jaqueta de Couro,6,30,Jaquetas
2023-01-05,1004,Camisa Social Branca,17,84,Camisas
2023-01-05,1005,Saia Longa,1,78,Saias
2023-01-05,1006,Blusa de Algodão,4,69,Blusas
2023-01-05,1007,Calça de Moletom,8,83,Calças
2023-01-05,1008,Vestido Floral,19,14,Vestidos
2023-01-05,1009,Terno Completo,3,19,Ternos
2023-01-05,1010,Camiseta Básica,17,45,Camisetas
2023-01-06,1001,Camisa Social Azul,10,26,Camisas
2023-01-06,1002,Calça Jeans,5,22,Calças
2023-01-06,1003,Jaqueta de Couro,18,79,Jaquetas
2023-01-06,1004,Camisa Social Branca,16,65,Camisas
2023-01-06,1005,Saia Longa,5,98,Saias
2023-01-06,1006,Blusa de Algodão,15,27,Blusas
2023-01-06,1007,Calça de Moletom,19,21,Calças
2023-01-06,1008,Vestido Floral,6,81,Vestidos
2023-01-06,1009,Terno Completo,18,80,Ternos
2023-01-06,1010,Camiseta Básica,16,13,Camisetas
2023-01-07,1001,Camisa Social Azul,14,19,Camisas
2023-01-07,1002,Calça Jeans,15,71,Calças
2023-01-07,1003,Jaqueta de Couro,15,57,Jaquetas
2023-01-07,1004,Camisa Social Branca,16,92,Camisas
2023-01-07,1005,Saia Longa,1,43,Saias
2023-01-07,1006,Blusa de Algodão,3,40,Blusas
2023-01-07,1007,Calça de Moletom,19,89,Calças
2023-01-07,1008,Vestido Floral,16,70,Vestidos
2023-01-07,1009,Terno Completo,19,40,Ternos
2023-01-07,1010,Camiseta Básica,3,70,Camisetas
2023-01-08,1001,Camisa Social Azul,16,52,Camisas
2023-01-08,1002,Calça Jeans,18,48,Calças
2023-01-08,1003,Jaqueta de Couro,16,90,Jaquetas
2023-01-08,1004,Camisa Social Branca,10,52,Camisas
2023-01-08,1005,Saia Longa,4,33,Saias
2023-01-08,1006,Blusa de Algodão,16,52,Blusas
2023-01-08,1007,Calça de Moletom,15,78,Calças
2023-01-08,1008,Vestido Floral,3,51,Vestidos
2023-01-08,1009,Terno Completo,10,92,Ternos
